monto,año,iso3
-0.7063069,1993,SEN
314.3999999,1993,ZMB
868.62,1992,BHR
17.8,1992,BLZ
190.4,1992,JAM
-7.0999999,1992,MWI
118.2324045,1992,NAM
117.0755,1992,PRY
776.0,1992,PHL
2204.33771,1992,SGP
411.0309909,1992,CHE
1.22,1992,TON
3.0,1992,UGA
-0.28,1991,AFG
619.5,1991,BHR
4.86,1991,VG
1.7443299,1991,CPV
145.0,1991,DOM
18.8,1991,KEN
4043.0,1991,MYS
15.1574,1991,NER
80.9955999,1991,PRY
-7.443984,1991,SEN
1.0,1991,UGA
14846.168,1991,GBR
282.5,1991,YEM
137.12,1990,ISR
174.9,1990,JAM
1806.039008,1990,JPN
0.67,1990,NIC
1002.5,1990,NGA
278.3311425,1990,PAK
0.01,1990,ROU
312.0,1990,SAU
28.4608802,1990,SWZ
200.0,1989,AGO
5.6699999,1989,BFA
-85.7343999,1989,CMR
-19.42,1989,IRN
192.7593357,1989,IRL
2528.259808,1989,ITA
-1059.696732,1989,JPN
6.36,1989,MLI
-0.48,1989,NAM
1740.603954,1989,NOR
11.0,1989,POL
1564.713978,1989,PRT
15.5399999,1989,RWA
2886.58948,1989,SGP
570.446,1989,VEN
14.0,1988,BLZ
132.52,1988,GAB
1.1699999,1988,GMB
10.1,1988,HTI
0.39,1988,KEN
-1.51,1988,NAM
3654.952743,1988,SGP
7020.57,1988,ESP
56.8998192,1988,SWZ
188.8899999,1988,ARE
-3.58,1986,VG
28.1999999,1986,TCD
80.7322999,1986,ECU
12.09317918,1986,FJI
0.106285554,1986,KIR
-14.5299999,1986,KWT
92.237961,1986,PAK
-229.389,1986,VEN
239.3,1980,AUT
47.0,1980,BOL
-1.1399999,1980,VG
4.5999999,1980,BDI
104.12,1980,DNK
31.52,1980,GAB
0.28,1980,GMB
15.6,1980,GHA
286.4499999,1980,IRL
27.6999999,1980,JAM
9.48,1980,MWI
334.0865703,1980,NZL
29.789,1980,PRY
16.42,1980,RWA
18.0,1980,TUR
4.0,1980,UGA
5.36,1981,BGD
-5.7199999,1981,SLV
36.25,1981,FJI
28.2199999,1981,IRN
1127.03,1981,ITA
14.15,1981,KEN
1.6599999,1981,LBN
1264.69,1981,MYS
108.09,1981,PAK
18.0,1981,POL
327.22,1981,TUN
5879.38,1981,GBR
4.5999999,1982,BRB
131.74,1982,GAB
-391.8199999,1982,LBY
20.87,1982,MLT
425.4705974,1982,NOR
36.706,1982,PRY
95.06,1982,ARE
0.4,1983,BGD
17.5399999,1983,VG
-0.09,1983,TCD
0.52,1983,GNQ
169.65,1983,IRL
-18.6999999,1983,JAM
416.0,1983,JPN
3.1499999,1983,MLI
0.1,1983,NIC
38.0,1983,PER
247.0,1983,PHL
16.0,1983,POL
4943.9,1983,SAU
1622.39,1983,ESP
209.22,1983,TUN
67.14,1984,AGO
3.2,1984,BLZ
1501.2,1984,BRA
1.24,1984,VG
2.1699999,1984,GNQ
2.0,1984,GHA
38.0,1984,GTM
0.7,1984,GIN
4.46,1984,HTI
46.99,1984,MAR
7.4444444,1984,NIC
15.07,1984,RWA
113.0,1984,TUR
919.0,1985,ARG
-30.1999999,1985,BHS
316.2289999,1985,CMR
453.98,1985,CYM
69.84401,1985,CRI
12.56989294,1985,FJI
-9.38,1985,NER
67.2999999,1985,PAN
1046.75,1985,SGP
99.0,1985,TUR
0.4,1987,AFG
119.0,1987,AGO
2354.92,1987,BEL
3.47,1987,MDG
6.2,1987,MOZ
110.0658893,1987,PAK
57.5046811,1987,SWZ
102.76,1987,TUN
253.3748167039,2022,ABW
200.0,2022,BRB
86050.3589742,2022,BRA
12.8836879339,2022,BDI
136.056543,2022,CPV
52633.1964457898,2022,CAN
614.0185064633,2022,TCD
-2088.2,2022,IRQ
945.0867063593,2022,NAM
580.7370274791,2022,NER
3715.6480278283,2022,OMN
40.804077467,2022,SLB
262.459429,2022,TLS
14093.3955543065,2022,GBR
6782.3488872,2021,ARG
20898.8119204582,2021,AUS
13806.129907486,2021,FIN
21131.11,2021,IDN
-4929.6624222052,2021,IRL
320.48,2021,JAM
639.9441653972,2021,MLI
5101.6679545,2021,MOZ
191.5862305,2021,PRY
19285.6435846,2021,SAU
2588.1249941674,2021,SEN
27.8048534122,2021,SLB
111.935757,2020,BMU
675.1869937,2020,CMR
10832.5614959,2020,CHL
-24450.8417723008,2020,CYP
-1578.5157383273,2020,FIN
56204.0739869287,2020,DEU
934.87964,2020,GTM
18590.96,2020,IDN
1005.1330316411,2020,LVA
1606.8947219,2020,LBN
358.4671414,2020,MDG
3034.5620562,2020,MOZ
-86507.0566506683,2020,NLD
360.6535742647,2020,NER
-8228.6930959799,2020,NOR
110.0731275,2020,PRY
-36.0,2020,UKR
-136.116582905,2019,ABW
38886.1507104241,2019,AUS
93.9102417,2019,BLZ
3021.0,2019,DOM
9010.0,2019,EGY
-3508.2,2019,IRQ
18145.5675513503,2019,ITA
2443.34,2019,MNG
2211.654426,2019,MOZ
335.1767566888,2019,PNG
5124.9869622486,2019,ZAF
119.4351057,2018,AFG
5389.7691421067,2018,AUT
1654.2553191489,2018,BHR
194.073683336,2018,BEN
-413.4801654522,2018,CYP
-2497.2211308394,2018,DNK
470.9731816919,2018,FJI
1351.5297,2018,GEO
105.0,2018,HTI
2373.0,2018,IRN
77.012306,2018,MWI
7618.3376991572,2018,MYS
2173.741,2018,MNG
99381.3302045887,2018,NLD
345.2953720801,2018,NCL
6455.1365409623,2018,OMN
847.8415753981,2018,SEN
73561.0249384287,2018,SGP
36.4744492772,2018,SWZ
15.0474744,2018,TON
1035.9417379113,2018,TUN
-282.0983333,2018,YEM
-7397.2954091,2017,AGO
1426.0638297872,2017,BHR
2.5726903201,2017,BFA
9437.6235096757,2017,CYP
629.5824123,2017,ECU
304.8272494895,2017,GNQ
2863.7272511607,2017,FIN
3239.09,2017,GHA
1130.01766,2017,GTM
16892.825,2017,ISR
339.5733046,2017,PRY
10256.4423989,2017,PHL
9172.3400708591,2017,POL
23502.8976175145,2017,ESP
880.7877904874,2017,TUN
3727.0,2017,UKR
1100.671891147,2016,ALB
243.3510638298,2016,BHR
131.7906839966,2016,BEN
10522.7162137,2016,CHL
53.9988129036,2016,GNQ
22679.6473401076,2016,DEU
3372.0,2016,IRN
302.6056540701,2016,LTU
11335.9277294313,2016,MYS
378.7644322698,2016,MUS
3093.4,2016,MOZ
301.3324780821,2016,NER
6458.5218582,2016,PER
5000.3874165947,2016,ROU
472.4097959111,2016,SEN
2235.0014718269,2016,ZAF
712.5639043,2015,BHS
2217.3506218795,2015,BGR
7.3604477244,2015,BDI
5.4112872,2015,COK
1463.737592,2015,KEN
310.551520359,2015,KWT
2159.2899517,2015,LBN
887.995532017,2015,NAM
1673.0,2015,PAK
4583.1476571945,2014,AUT
1518.6170212766,2014,BHR
152.74378035,2014,BLZ
726.548,2014,CMR
16168.7017148,2014,COL
4612.0,2014,EGY
18571.0679792223,2014,FIN
35.5999999,2014,GMB
99.0,2014,HTI
1513.9001015,2014,KEN
313.6822674043,2014,MDG
144.2148312006,2014,MLI
11204.9685810317,2014,MLT
455.5621517869,2014,MUS
5739.5740241,2014,PHL
-512.8211151409,2014,SVK
1058.5645403,2014,UGA
95.15672405,2013,BLZ
360.3433831352,2013,BEN
7.407171159,2013,BDI
69368.2412099326,2013,CAN
2741.0917771,2013,CRI
179.20832,2013,SLV
771.1925535428,2013,GAB
0.838,2013,KIR
702.0,2013,LBY
965.1,2013,NIC
9826.002544,2013,PER
311.366771248,2013,SEN
28100.1394514908,2013,ESP
4499.0,2013,UKR
9764.9145273,2013,ARE
526.876534,2012,BRB
61121.5104496,2012,VG
2258.0900324,2012,CRI
3142.3999999,2012,DOM
466.84142,2012,SLV
985.256411512,2012,GNQ
48883.840810799,2012,IRL
92.510028344,2012,ITA
2175.0518119,2012,KEN
589.018302822,2012,MUS
2728.3610942418,2012,MAR
25013.0413442735,2012,NLD
13622.4851043,2012,PER
60102.9863645093,2012,SGP
29482.9740083013,2012,CHE
8401.0,2012,UKR
9566.651351,2012,ARE
1731.5,2012,ZMB
58931.5940886862,2011,AUS
1408.7994448,2011,BHS
2052.2821870982,2011,BGR
186.3050103207,2011,COD
216.7645368868,2011,FJI
874.8731635,2011,GAB
67513.6643242905,2011,DEU
1882.3,2011,IRQ
1467.9817336364,2011,LVA
3137.0502878,2011,LBN
5957.1504750784,2011,PRT
36795.5162544948,2010,AUS
913.32,2010,BGD
313.0,2010,TCD
2734.0,2010,GNQ
419.8425259422,2010,LVA
9060.0420975508,2010,MYS
940.316227081,2010,NER
1243.1729519,2010,OMN
2022.0,2010,PAK
3385.353473,2009,BGR
164.8307729,2009,CPV
14166.41847,2009,CHL
2165.4,2009,DOM
623.609,2009,MNG
1182.295685,2009,NCL
48.57331558,2009,SLB
10406.59838,2009,ESP
65.6976257,2009,SWZ
-983.0,2009,VEN
1678.97101,2008,AGO
943.7329999,2008,ARM
45058.156,2008,BRA
9855.106749,2008,BGR
-24.1980188,2008,CMR
466.1309999,2008,TCD
1057.155,2008,ECU
4002.061782,2008,LBN
844.6979999,2008,MNG
2487.094098,2008,MAR
-6776.430952,2008,NLD
102.2899999,2008,RWA
4513.6294727142,2008,SRB
105.7228835,2008,SWZ
2758.615092,2008,TUN
-893.342152,2007,AGO
25484.26717,2007,AUT
1622.82,2007,BHS
93430.67292,2007,BEL
143.1405,2007,BLZ
343.5350233,2007,BFA
4669.380269,2007,HRV
1667.4,2007,DOM
11578.1,2007,EGY
459.6716099,2007,FJI
74.5,2007,HTI
43849.3481,2007,ITA
22548.85099,2007,JPN
72.7944966,2007,MLI
23.99882284,2007,TON
3288.0,2007,VEN
5537.348,2006,ARG
221.3477602,2006,ABW
18822.208,2006,BRA
33.59406376,2006,BFA
7426.274991,2006,CHL
383.0,2006,IRQ
50.6748047,2006,KEN
3131.673755,2006,LBN
6060.226052,2006,MYS
4273.0,2006,PAK
3466.531061,2006,PER
220.3197613,2006,SEN
271.0,2005,AFG
5265.263,2005,ARG
390.0613959,2005,BRB
-238.62,2005,BOL
53.43892067,2005,CPV
234.007,2005,CMR
173.8647049,2005,FJI
233.9041092,2005,KWT
86.01968018,2005,MDG
107.8533189,2005,MOZ
1538.0,2005,OMN
3109.637865,2005,SVK
561.6475153,2005,SVN
6646.926642,2005,ZAF
-266.9493566,2005,CHE
10899.93193,2005,ARE
345.6718382,2004,ALB
39611.69333,2004,AUS
909.0399999,2004,DOM
20125.86094,2004,ITA
46.063947,2004,KEN
357.0,2004,LBY
58.9487571,2004,MWI
20.32236388,2004,NER
2127.086142,2004,NGA
27.6789999,2004,PRY
24760.68367,2004,ESP
6338.891375,2003,AUS
197.401006,2003,BOL
323.1297316,2003,COD
692.1110081,2003,CRI
-67.11139149,2003,KWT
279.8989655,2003,LVA
180.4094914,2003,LTU
2473.157895,2003,MYS
62.07551565,2003,MUS
116.0481425,2003,NCL
-2788.455955,2003,NZL
2171.390315,2003,NGA
817.5,2003,PAN
101.0256914,2003,PNG
7983.640583,2003,PRT
16353.24708,2003,SGP
733.6660167,2003,ZAF
6.244495291,2003,TON
1424.0,2003,UKR
2040.0,2003,VEN
-89.1069999,2003,YEM
5451.882,2002,VG
470.1999999,2002,SLV
323.3915075,2002,GNQ
3.619444975,2002,KWT
38.7190554,2002,MWI
1192.417627,2002,NOR
5.8999999,2002,PRY
1630.034351,2002,PRT
10.41342906,2002,SLE
96.43572059,2002,SWZ
19683.07447,2002,GBR
298.36,2002,ZMB
2145.501,2001,AGO
69.869,2001,ARM
354.47,2001,BGD
22457.353,2001,BRA
808.4258753,2001,BGR
27663.42106,2001,CAN
2133.108,2001,CYM
4199.8,2001,CHL
11522.53683,2001,DNK
1079.1,2001,DOM
1.6799999,2001,GIN
1771.719,2001,ISR
10418.314,2000,ARG
104.1889999,2000,ARM
609.192,2000,BHS
578.6399999,2000,BGD
88738.714,2000,BEL
1016.486088,2000,BGR
2436.46,2000,COL
1235.4,2000,EGY
6957.443,2000,ISR
266.5,2000,NIC
6408.77362,2000,NOR
98.23302758,2000,PNG
8.0999999,2000,RWA
183.0,2000,SAU
779.4671258,2000,TUN
982.0,2000,TUR
122.034,1999,ARM
781.8999999,1999,BHS
39.26431584,1999,BEN
7915.398866000001,1999,VG
6475.83,1999,CYM
24.52497081,1999,TCD
4610.271173,1999,FIN
49.4799999,1999,GMB
72.26976332,1999,KWT
486.4575,1999,LTU
58.49986731,1999,MWI
2.178012308,1999,MLI
300.0,1999,NIC
1940.009,1999,PER
9.9004999,1999,SLB
496.0,1999,UKR
2890.0,1999,VEN
7290.657,1998,ARG
18.98599995,1998,BLZ
678.392895,1998,BGR
869.9728999,1998,ECU
274.7681167,1998,GNQ
12.17036849,1998,MUS
18.8999999,1998,MNG
234.9,1998,MOZ
1210.105259,1998,NGA
8.8046299,1998,SLB
14266.89455,1998,ESP
2668.974816,1997,AUT
575.2899999,1997,BGD
3636.65,1997,VG
406.8999999,1997,CRI
886.8999999,1997,EGY
3224.61836,1997,JPN
53.0,1997,KEN
82.00722343,1997,MLT
25.0,1997,MNG
1204.709508,1997,MAR
3981.536461,1997,NOR
711.0,1997,PAK
2340.007915,1997,PRT
-0.010526149,1997,TON
623.0,1997,UKR
6202.0,1997,VEN
17.57,1996,ARM
5629.724696,1996,AUS
87.7999999,1996,BHS
16.57999995,1996,BLZ
13.4883648,1996,BEN
1231.71,1996,CYM
485.18139,1996,HRV
247.6385587,1996,GNQ
1087.64318,1996,FIN
6572.645653,1996,DEU
382.3640488,1996,LVA
97.0,1996,NIC
2190.68466,1996,NGA
111.294,1996,PNG
3471.149,1996,PER
175.479362,1996,SVN
3078.454058,1996,CHE
25.32,1995,ARM
9254.772,1995,CAN
1442.925,1995,IRL
6.701334906,1995,KWT
35.0,1995,LBN
-88.4860999,1995,LBY
2849.961939,1995,NZL
7910.827709,1995,ESP
377.5,1995,TUN
124.509,1995,UGA
107.0,1995,ZMB
11.1478,1994,BGD
8513.58,1994,BEL
130.1999999,1994,BOL
27.0747,1994,TCD
1133.4,1994,EGY
71.51053192,1994,FJI
0.21,1994,GIN
0.294,1994,IRN
129.6999999,1994,JAM
62.46,1994,ARE
813.0,1994,VEN
68.0,1993,ALB
2793.085,1993,ARG
-2.569832346,1993,ABW
675.98,1993,VG
40.0,1993,BGR
0.47368,1993,BDI
15.1609,1993,TCD
189.3,1993,DOM
22.3017,1993,GNQ
3746.619,1993,ITA
6359.115239,1993,NLD
61.9508,1993,PNG
112.5999999,1993,SVN
71.896425,1993,SWZ
4430.978,1992,ARG
2.3999999,1992,ARM
3.7218499,1992,BGD
77.5731793,1992,BEN
2061.0,1992,BRA
27.4899999,1992,CYM
94.0999999,1992,GTM
0.093,1992,IRQ
10.0,1992,LTU
14.77845173,1992,MUS
424.0,1992,MAR
111.0,1992,SVN
844.0,1992,TUR
1937.428366,1992,VEN
7.42492125,1991,BRB
15.05,1991,BLZ
81.7999999,1991,CYP
160.1431,1991,ECU
-207.7861406,1991,FIN
8.0299999,1991,GMB
90.4,1991,GTM
18.97484715,1991,MUS
42.0,1991,NIC
7.50447,1991,SLE
34.34,1991,ZMB
11.21328275,1990,BRB
988.7999999,1990,BRA
661.2,1990,CHL
22.5515582,1990,COD
59.2999999,1990,GTM
-361.9499999,1990,IRN
1563.802969,1990,NOR
142.263,1990,OMN
135.535,1990,PAN
0.2,1990,TON
30461.116,1990,GBR
581.9797894,1989,AUT
9.3599999,1989,HTI
9.2899999,1989,MWI
7836.941552,1989,NLD
59.0,1989,PER
18.21,1989,SEN
22.43,1988,CYM
1.29,1988,TCD
123.14401,1988,CRI
16.96,1988,SLV
441.1134481,1988,FIN
15.68,1988,GIN
267.1999999,1988,ISR
-0.27,1988,LBN
6.237,1988,PRY
841.8895496,1988,PRT
-328.44,1988,SAU
93.26,1988,ZMB
2.4399999,1986,BGD
8.3,1986,BLZ
13.4,1986,BOL
3.14,1986,BFA
674.0,1986,COL
22.439692,1986,COD
46.32,1986,CYP
285.0334215,1986,FIN
110.25,1986,GAB
250.2933545,1986,IRL
143.4,1986,ISR
17.6,1986,NER
-49.8999999,1986,ZAF
8.5099999,1980,BGD
4.32,1980,BEN
129.828,1980,CMR
5807.29033,1980,CAN
19.5599999,1980,CYM
213.1999999,1980,CHL
40.0321847,1980,COD
548.2899999,1980,EGY
24.35402008,1980,FIN
0.56,1980,GIN
59.82,1980,NOR
10.0,1980,POL
14.48,1980,SEN
4.15,1981,BHR
8.4,1981,BRB
2.0899999,1981,BEN
135.3909999,1981,CMR
752.57,1981,EGY
54.5799999,1981,GAB
